Member_number,Date,products,Ratings
1950,11/11/2015,whole milk,2
4737,19-09-2015,root vegetables,5
3589,4/11/2015,yogurt,1
2246,29-08-2015,berries,5
2128,10/8/2015,soda,5
3866,21-04-2015,bottled water,4
1882,9/7/2015,root vegetables,5
2574,25-08-2015,seasonal products,2
2011,22-12-2015,other vegetables,4
4223,20-07-2015,other vegetables,4
2068,7/4/2015,rolls/buns,3
3035,9/5/2015,candles,2
2597,8/5/2015,napkins,3
1306,8/1/2015,frozen vegetables,4
1789,24-04-2015,male cosmetics,5
1003,10/2/2015,rolls/buns,3
3378,13-01-2015,canned beer,4
4460,1/5/2015,sliced cheese,1
1961,21-06-2015,dish cleaner,1
4576,18-06-2015,grapes,2
3061,10/2/2015,berries,5
1016,19-07-2015,red/blush wine,5
3528,19-05-2015,rolls/buns,3
4566,10/3/2015,butter,4
1979,20-11-2015,frozen meals,1
3662,3/12/2015,whole milk,2
2700,13-05-2015,yogurt,1
2432,12/12/2015,condensed milk,2
2693,17-08-2015,yogurt,1
1456,20-11-2015,domestic eggs,3
4081,20-10-2015,rolls/buns,3
4588,30-06-2015,bottled beer,3
1892,8/3/2015,specialty bar,5
1922,7/2/2015,pip fruit,1
1440,6/12/2015,tropical fruit,4
1420,19-06-2015,hygiene articles,1
2273,21-10-2015,other vegetables,4
4910,25-11-2015,pastry,2
4593,4/8/2015,rolls/buns,3
1380,21-11-2015,soda,5
4035,26-07-2015,frozen dessert,3
3063,28-12-2015,root vegetables,5
2558,12/8/2015,rolls/buns,3
1744,27-06-2015,soda,5
3162,6/6/2015,bottled water,4
3216,12/2/2015,newspapers,1
4783,27-01-2015,yogurt,1
2592,25-09-2015,bottled beer,3
3141,19-07-2015,rolls/buns,3
2315,20-12-2015,other vegetables,4
3318,12/1/2015,cat food,4
4594,2/5/2015,meat spreads,2
2428,14-08-2015,white wine,4
4613,17-05-2015,fruit/vegetable juice,4
1676,11/10/2015,fruit/vegetable juice,4
1259,21-11-2015,sliced cheese,1
3930,12/7/2015,yogurt,1
3995,26-06-2015,pip fruit,1
1038,14-12-2015,butter,4
4794,6/9/2015,soda,5
3960,21-09-2015,whole milk,2
3077,5/1/2015,vinegar,1
1161,14-03-2015,whole milk,2
1800,16-04-2015,brown bread,4
1717,9/11/2015,other vegetables,4
1888,6/6/2015,sliced cheese,1
2138,4/3/2015,root vegetables,5
1866,13-02-2015,bottled water,4
4745,29-09-2015,canned fish,2
1269,12/9/2015,whole milk,2
4721,15-06-2015,rum,5
2885,22-03-2015,nut snack,5
1435,24-04-2015,hard cheese,2
1887,3/2/2015,citrus fruit,4
4776,26-03-2015,pip fruit,1
4313,16-05-2015,seasonal products,2
3545,28-08-2015,berries,5
2307,12/3/2015,root vegetables,5
1215,18-01-2015,semi-finished bread,1
1428,18-01-2015,whole milk,2
4297,27-10-2015,butter milk,5
1812,14-10-2015,yogurt,1
2217,2/12/2015,domestic eggs,3
2378,15-04-2015,pastry,2
2397,23-06-2015,newspapers,1
3419,20-08-2015,soap,2
4131,29-03-2015,female sanitary products,1
2220,4/8/2015,bottled beer,3
3870,21-03-2015,processed cheese,4
1483,14-06-2015,specialty cheese,4
3449,29-11-2015,rolls/buns,3
1959,13-12-2015,yogurt,1
4825,17-01-2015,butter,4
3289,2/5/2015,beef,3
1256,29-08-2015,butter,4
3369,23-03-2015,UHT-milk,2
2191,25-10-2015,butter milk,5
4645,6/12/2015,bottled beer,3
3818,8/8/2015,margarine,3
3857,4/11/2015,light bulbs,2
3651,31-07-2015,shopping bags,3
3689,29-07-2015,onions,1
2361,3/10/2015,other vegetables,4
2513,15-12-2015,yogurt,1
2110,29-07-2015,frozen meals,1
4895,21-07-2015,pastry,2
2756,31-07-2015,misc. beverages,5
1960,9/1/2015,yogurt,1
3924,29-10-2015,semi-finished bread,1
3020,27-08-2015,white wine,4
4531,10/8/2015,herbs,5
4901,14-02-2015,fruit/vegetable juice,4
3787,24-09-2015,yogurt,1
3688,24-09-2015,rolls/buns,3
4717,10/4/2015,brown bread,4
2210,25-09-2015,domestic eggs,3
4152,29-05-2015,pasta,2
4507,18-06-2015,candy,5
1118,13-05-2015,pickled vegetables,1
4953,7/5/2015,coffee,3
4417,21-01-2015,frozen meals,1
2358,15-12-2015,hard cheese,2
3122,5/2/2015,white bread,5
3920,10/5/2015,napkins,3
4592,8/12/2015,canned fish,2
1326,9/11/2015,yogurt,1
3729,29-11-2015,brown bread,4
2627,31-10-2015,yogurt,1
3393,7/11/2015,whole milk,2
4302,3/8/2015,yogurt,1
1734,15-02-2015,baking powder,3
3635,26-02-2015,bottled beer,3
3232,18-12-2015,white wine,4
2805,18-04-2015,bottled water,4
2214,19-01-2015,root vegetables,5
4725,2/12/2015,white bread,5
4975,2/11/2015,beverages,2
3393,23-02-2015,coffee,3
4456,8/8/2015,cream cheese ,1
4744,29-08-2015,fruit/vegetable juice,4
1264,30-07-2015,tropical fruit,4
3104,18-05-2015,spices,3
4966,25-01-2015,curd,2
4183,15-01-2015,domestic eggs,3
3786,10/2/2015,UHT-milk,2
3299,28-02-2015,cream cheese ,1
1656,7/7/2015,white bread,5
4753,5/3/2015,seasonal products,2
2857,18-04-2015,liquor (appetizer),2
3692,18-10-2015,packaged fruit/vegetables,1
2613,23-08-2015,domestic eggs,3
3509,8/7/2015,hygiene articles,1
3048,6/10/2015,coffee,3
1160,21-08-2015,coffee,3
2629,26-04-2015,long life bakery product,2
1444,6/6/2015,pickled vegetables,1
2578,1/12/2015,curd,2
4184,28-06-2015,semi-finished bread,1
3201,27-11-2015,whole milk,2
3311,2/5/2015,frozen vegetables,4
4294,8/1/2015,cling film/bags,1
2283,18-01-2015,shopping bags,3
3325,7/11/2015,newspapers,1
3621,2/11/2015,butter,4
1968,3/10/2015,citrus fruit,4
3717,1/4/2015,rolls/buns,3
4704,18-08-2015,candy,5
3904,11/5/2015,berries,5
2336,7/10/2015,frozen meals,1
3546,22-11-2015,rolls/buns,3
3797,23-08-2015,other vegetables,4
4607,15-12-2015,sliced cheese,1
4522,18-05-2015,candles,2
4695,13-10-2015,whole milk,2
4919,30-03-2015,pastry,2
3289,15-03-2015,rolls/buns,3
1200,26-09-2015,rolls/buns,3
3789,6/9/2015,root vegetables,5
1289,8/11/2015,brown bread,4
2415,29-04-2015,softener,1
1943,30-09-2015,whole milk,2
3685,26-08-2015,curd,2
3447,27-11-2015,mustard,1
2164,8/10/2015,other vegetables,4
4107,5/2/2015,domestic eggs,3
2744,19-05-2015,fruit/vegetable juice,4
1051,12/8/2015,rolls/buns,3
2087,9/4/2015,brown bread,4
1020,13-10-2015,rolls/buns,3
4546,9/4/2015,pip fruit,1
1182,29-11-2015,pip fruit,1
2727,15-12-2015,whipped/sour cream,4
4314,29-04-2015,bottled beer,3
2745,19-02-2015,oil,3
3147,20-02-2015,Instant food products,3
2677,7/12/2015,UHT-milk,2
2321,8/4/2015,whole milk,2
4708,2/10/2015,brown bread,4
3225,12/12/2015,other vegetables,4
3401,28-09-2015,root vegetables,5
3735,27-04-2015,pet care,2
2486,25-11-2015,yogurt,1
4790,15-08-2015,newspapers,1
1730,19-09-2015,rolls/buns,3
4724,12/2/2015,whole milk,2
4951,9/1/2015,whole milk,2
1341,30-10-2015,berries,5
4519,2/9/2015,frozen vegetables,4
2914,1/4/2015,rolls/buns,3
3916,4/10/2015,citrus fruit,4
4145,11/4/2015,rolls/buns,3
3657,27-01-2015,domestic eggs,3
2546,7/5/2015,mustard,1
2738,3/2/2015,root vegetables,5
1491,30-12-2015,pork,1
3268,18-04-2015,margarine,3
1820,7/4/2015,ham,1
1923,6/12/2015,other vegetables,4
2968,17-10-2015,shopping bags,3
4970,8/8/2015,pastry,2
4827,3/10/2015,rolls/buns,3
3474,7/4/2015,dishes,3
4417,19-03-2015,fruit/vegetable juice,4
3061,5/11/2015,domestic eggs,3
4364,25-05-2015,butter,4
2887,17-01-2015,whole milk,2
1292,24-10-2015,pork,1
1693,27-12-2015,pastry,2
2267,7/1/2015,long life bakery product,2
2663,10/9/2015,pastry,2
1551,11/6/2015,yogurt,1
3421,12/5/2015,yogurt,1
2785,12/7/2015,whole milk,2
4326,2/5/2015,sweet spreads,1
2871,20-12-2015,root vegetables,5
4969,26-05-2015,bottled water,4
3463,24-09-2015,yogurt,1
1504,30-11-2015,whole milk,2
2528,19-10-2015,margarine,3
1959,15-05-2015,semi-finished bread,1
2479,13-01-2015,newspapers,1
4809,13-04-2015,curd,2
4047,6/3/2015,beverages,2
2781,11/1/2015,yogurt,1
1837,3/1/2015,root vegetables,5
3288,26-04-2015,whole milk,2
1152,20-04-2015,frozen meals,1
1641,23-06-2015,whipped/sour cream,4
2685,19-07-2015,other vegetables,4
3599,8/1/2015,citrus fruit,4
2114,6/11/2015,whole milk,2
2019,8/9/2015,other vegetables,4
4019,19-03-2015,grapes,2
3663,28-06-2015,white bread,5
3170,3/12/2015,yogurt,1
3537,24-09-2015,curd,2
3918,22-06-2015,beef,3
3507,22-07-2015,pastry,2
4453,22-05-2015,brown bread,4
2769,31-07-2015,rolls/buns,3
4151,2/11/2015,whole milk,2
2291,10/4/2015,canned fish,2
1677,21-02-2015,specialty chocolate,5
1499,6/3/2015,frozen vegetables,4
2274,5/1/2015,rolls/buns,3
2186,2/4/2015,canned beer,4
4437,7/8/2015,chewing gum,3
4856,3/1/2015,specialty bar,5
3413,23-09-2015,chocolate,5
4741,25-09-2015,whole milk,2
4406,27-05-2015,chewing gum,3
2601,30-04-2015,specialty chocolate,5
4845,12/10/2015,berries,5
3695,9/7/2015,sliced cheese,1
2202,28-02-2015,curd,2
1027,25-02-2015,red/blush wine,5
1744,28-09-2015,bottled beer,3
4864,4/12/2015,pip fruit,1
3730,27-07-2015,other vegetables,4
2127,1/1/2015,pickled vegetables,1
2672,26-11-2015,pastry,2
1930,2/2/2015,specialty bar,5
3623,7/5/2015,liquor,4
4082,1/5/2015,root vegetables,5
4387,26-07-2015,brown bread,4
4424,22-08-2015,red/blush wine,5
3630,24-07-2015,curd,2
2202,28-05-2015,rolls/buns,3
3036,18-09-2015,whole milk,2
4529,10/5/2015,other vegetables,4
1968,16-02-2015,frozen meals,1
1511,22-03-2015,shopping bags,3
1503,17-08-2015,whole milk,2
2091,30-07-2015,onions,1
1651,22-02-2015,bottled water,4
1553,20-03-2015,mustard,1
4746,9/12/2015,yogurt,1
2902,12/6/2015,other vegetables,4
4205,29-01-2015,whipped/sour cream,4
1508,15-11-2015,canned beer,4
2403,1/12/2015,yogurt,1
4705,22-05-2015,canned beer,4
1285,21-07-2015,hygiene articles,1
4238,3/12/2015,onions,1
1938,8/5/2015,rolls/buns,3
3402,23-05-2015,dessert,2
4031,18-10-2015,soda,5
1739,31-05-2015,soda,5
2104,27-02-2015,candy,5
4516,7/12/2015,candy,5
3485,22-07-2015,tropical fruit,4
4462,7/6/2015,citrus fruit,4
2544,29-01-2015,berries,5
2805,30-08-2015,ice cream,3
2969,24-08-2015,canned fish,2
3563,25-11-2015,whole milk,2
2683,18-01-2015,red/blush wine,5
3776,18-07-2015,soda,5
1331,29-11-2015,root vegetables,5
1498,28-05-2015,dessert,2
3890,11/1/2015,rolls/buns,3
4559,7/2/2015,whole milk,2
2723,31-01-2015,dishes,3
2925,11/12/2015,cake bar,4
3684,15-02-2015,chocolate,5
1770,19-11-2015,shopping bags,3
3661,17-06-2015,butter,4
1044,25-10-2015,curd,2
3031,25-11-2015,brown bread,4
3028,19-05-2015,yogurt,1
3035,4/3/2015,rolls/buns,3
3189,23-11-2015,fruit/vegetable juice,4
3766,8/11/2015,shopping bags,3
4540,4/8/2015,beverages,2
4362,11/7/2015,frozen vegetables,4
4355,21-11-2015,bottled beer,3
1510,25-10-2015,soda,5
4299,14-08-2015,rolls/buns,3
1982,14-12-2015,butter,4
3365,13-08-2015,cat food,4
3653,9/11/2015,red/blush wine,5
1795,3/4/2015,whole milk,2
4693,24-04-2015,whipped/sour cream,4
4219,16-10-2015,long life bakery product,2
3636,14-05-2015,whole milk,2
1595,11/4/2015,soda,5
3196,5/5/2015,whole milk,2
2657,21-05-2015,frozen dessert,3
4656,14-10-2015,grapes,2
4239,11/2/2015,berries,5
1510,21-08-2015,whole milk,2
3462,21-01-2015,nut snack,5
3794,1/11/2015,liquor (appetizer),2
1408,1/3/2015,soda,5
3686,29-08-2015,other vegetables,4
2273,28-02-2015,soft cheese,3
4693,13-03-2015,female sanitary products,1
2597,13-02-2015,onions,1
1551,21-07-2015,curd,2
2888,8/1/2015,brown bread,4
1631,14-08-2015,herbs,5
3564,4/7/2015,bottled water,4
4277,25-11-2015,grapes,2
4410,12/10/2015,salty snack,1
3455,18-11-2015,soft cheese,3
2467,5/7/2015,nuts/prunes,2
2235,19-01-2015,processed cheese,4
2145,21-01-2015,soda,5
3310,8/3/2015,grapes,2
2876,19-09-2015,chewing gum,3
3736,26-02-2015,root vegetables,5
3402,16-08-2015,sauces,3
1397,21-12-2015,whipped/sour cream,4
3497,15-08-2015,white bread,5
3044,7/6/2015,UHT-milk,2
1296,23-11-2015,yogurt,1
3999,16-11-2015,rolls/buns,3
2492,10/11/2015,whole milk,2
1572,21-09-2015,candy,5
4224,29-01-2015,brown bread,4
2352,31-01-2015,shopping bags,3
3609,23-02-2015,frozen meals,1
4142,17-11-2015,beverages,2
2736,26-12-2015,butter milk,5
2517,20-03-2015,domestic eggs,3
4999,18-02-2015,onions,1
4338,24-03-2015,pickled vegetables,1
2215,26-11-2015,cream cheese ,1
2745,21-04-2015,other vegetables,4
2861,12/3/2015,tropical fruit,4
3553,10/5/2015,other vegetables,4
2993,5/5/2015,napkins,3
4365,20-02-2015,whole milk,2
2860,20-12-2015,flower (seeds),5
3760,22-11-2015,sliced cheese,1
2505,22-04-2015,whole milk,2
1485,12/7/2015,other vegetables,4
4608,27-04-2015,ketchup,5
2873,15-07-2015,liquor (appetizer),2
4848,7/7/2015,rolls/buns,3
2550,23-12-2015,whipped/sour cream,4
2085,22-04-2015,candy,5
2549,24-08-2015,soda,5
1200,8/8/2015,root vegetables,5
3463,9/5/2015,shopping bags,3
3583,2/8/2015,male cosmetics,5
1276,26-03-2015,yogurt,1
2951,22-12-2015,domestic eggs,3
4970,23-07-2015,sliced cheese,1
1492,20-01-2015,other vegetables,4
3864,26-08-2015,sugar,2
2506,17-11-2015,other vegetables,4
4285,22-04-2015,roll products ,2
4822,26-02-2015,other vegetables,4
3588,15-12-2015,berries,5
2520,6/12/2015,soda,5
1088,14-01-2015,berries,5
1486,23-09-2015,beef,3
4080,3/7/2015,whole milk,2
3058,27-07-2015,butter,4
3133,1/12/2015,curd cheese,5
1731,17-08-2015,whole milk,2
2436,17-02-2015,margarine,3
3452,15-05-2015,pastry,2
2761,11/1/2015,semi-finished bread,1
1705,28-07-2015,whole milk,2
3221,1/4/2015,berries,5
1384,19-12-2015,domestic eggs,3
4570,22-08-2015,tropical fruit,4
2506,27-12-2015,soda,5
3380,23-04-2015,flour,2
2765,30-11-2015,yogurt,1
4840,5/6/2015,whipped/sour cream,4
1685,18-08-2015,whole milk,2
2028,1/3/2015,frozen vegetables,4
1125,27-08-2015,pastry,2
1054,2/9/2015,oil,3
4274,23-01-2015,other vegetables,4
2710,14-10-2015,long life bakery product,2
2699,28-11-2015,pastry,2
1918,29-09-2015,butter milk,5
4936,2/3/2015,root vegetables,5
2535,20-03-2015,rolls/buns,3
4495,24-08-2015,domestic eggs,3
4216,24-02-2015,rolls/buns,3
1515,21-09-2015,cat food,4
2604,26-01-2015,white bread,5
4820,7/12/2015,snack products,5
2340,28-11-2015,whole milk,2
2864,13-03-2015,tropical fruit,4
1366,29-11-2015,beef,3
3317,29-06-2015,dessert,2
4218,11/1/2015,berries,5
3958,4/11/2015,rolls/buns,3
1309,1/4/2015,cocoa drinks,2
1394,24-05-2015,bottled beer,3
4412,4/5/2015,frozen vegetables,4
3649,21-06-2015,yogurt,1
4805,13-10-2015,whole milk,2
1599,20-04-2015,whole milk,2
4321,12/9/2015,newspapers,1
3397,20-02-2015,curd,2
3767,6/6/2015,beverages,2
2781,1/6/2015,other vegetables,4
3750,17-05-2015,curd,2
4574,27-11-2015,whole milk,2
4180,1/4/2015,brown bread,4
3897,1/2/2015,UHT-milk,2
4333,1/7/2015,soft cheese,3
3796,6/6/2015,bottled beer,3
2240,18-05-2015,canned beer,4
2967,6/2/2015,domestic eggs,3
2581,14-12-2015,coffee,3
1248,15-12-2015,whole milk,2
3830,18-10-2015,coffee,3
3976,8/5/2015,onions,1
1842,23-02-2015,cream cheese ,1
1626,18-02-2015,chewing gum,3
4059,5/1/2015,whole milk,2
2370,12/9/2015,chocolate,5
4466,3/9/2015,yogurt,1
2404,10/2/2015,yogurt,1
3224,14-03-2015,shopping bags,3
1478,12/2/2015,bottled water,4
2229,22-12-2015,misc. beverages,5
4418,4/10/2015,rolls/buns,3
3571,7/7/2015,baking powder,3
2234,27-02-2015,root vegetables,5
3416,7/2/2015,canned beer,4
3429,29-06-2015,root vegetables,5
1046,24-06-2015,bottled water,4
4498,19-04-2015,chocolate,5
2152,3/9/2015,whisky,5
1425,18-03-2015,brown bread,4
3946,19-11-2015,newspapers,1
1009,14-05-2015,yogurt,1
2825,25-12-2015,whisky,5
4592,22-06-2015,chocolate,5
1449,27-05-2015,soda,5
1837,18-06-2015,domestic eggs,3
4322,31-10-2015,chocolate,5
2039,18-06-2015,oil,3
3999,19-05-2015,fruit/vegetable juice,4
1183,4/1/2015,domestic eggs,3
2441,3/7/2015,rolls/buns,3
2739,19-09-2015,specialty bar,5
3049,5/2/2015,yogurt,1
1697,29-05-2015,kitchen towels,2
4109,24-08-2015,other vegetables,4
3217,20-03-2015,cream cheese ,1
4879,12/10/2015,yogurt,1
3505,11/10/2015,domestic eggs,3
4292,26-10-2015,yogurt,1
4813,4/8/2015,specialty chocolate,5
1379,17-04-2015,cream cheese ,1
3410,31-05-2015,rolls/buns,3
4074,10/9/2015,flour,2
3438,4/1/2015,waffles,1
2919,30-06-2015,candles,2
1401,29-05-2015,soda,5
2074,20-12-2015,UHT-milk,2
4193,30-08-2015,specialty chocolate,5
1195,4/11/2015,liquor,4
4850,15-07-2015,packaged fruit/vegetables,1
3255,8/1/2015,whole milk,2
2572,27-05-2015,dog food,2
3803,14-12-2015,vinegar,1
3342,22-06-2015,long life bakery product,2
3167,20-08-2015,specialty chocolate,5
3517,14-07-2015,hard cheese,2
1391,14-03-2015,yogurt,1
2682,20-01-2015,whole milk,2
1363,15-01-2015,hard cheese,2
4849,17-05-2015,berries,5
3107,16-11-2015,frozen vegetables,4
2171,22-04-2015,ice cream,3
2286,19-06-2015,napkins,3
1449,3/10/2015,tropical fruit,4
2192,10/2/2015,soda,5
1926,29-05-2015,brown bread,4
1245,4/12/2015,shopping bags,3
4034,13-11-2015,rolls/buns,3
3719,22-02-2015,canned beer,4
1033,15-06-2015,waffles,1
1293,26-10-2015,specialty cheese,4
3737,12/12/2015,soda,5
1114,26-04-2015,shopping bags,3
2286,4/12/2015,other vegetables,4
1782,13-09-2015,yogurt,1
2837,19-09-2015,citrus fruit,4
2011,23-12-2015,candles,2
3067,22-09-2015,margarine,3
3191,30-12-2015,chocolate marshmallow,4
4161,24-09-2015,fruit/vegetable juice,4
2526,16-10-2015,yogurt,1
1582,8/7/2015,margarine,3
3663,20-11-2015,rolls/buns,3
1237,8/3/2015,hard cheese,2
2635,17-09-2015,specialty bar,5
3034,22-05-2015,other vegetables,4
3005,12/7/2015,fruit/vegetable juice,4
2476,30-07-2015,canned beer,4
1052,15-05-2015,whipped/sour cream,4
3781,23-09-2015,pip fruit,1
4736,3/4/2015,onions,1
4101,30-01-2015,rolls/buns,3
2535,17-10-2015,frozen vegetables,4
1924,7/9/2015,semi-finished bread,1
3079,4/1/2015,chicken,4
4270,8/2/2015,shopping bags,3
2797,12/9/2015,coffee,3
3813,18-01-2015,cat food,4
4412,20-12-2015,napkins,3
2997,2/6/2015,soda,5
3703,24-03-2015,chocolate,5
2260,2/10/2015,chocolate,5
3583,3/12/2015,whipped/sour cream,4
2513,30-01-2015,rolls/buns,3
4336,25-09-2015,prosecco,3
2017,19-02-2015,white wine,4
2787,9/5/2015,specialty bar,5
3460,14-09-2015,dessert,2
4056,29-08-2015,herbs,5
2063,23-08-2015,cream cheese ,1
2085,4/4/2015,domestic eggs,3
3778,13-03-2015,meat,4
2691,9/3/2015,rolls/buns,3
2534,8/11/2015,specialty cheese,4
2315,17-12-2015,roll products ,2
1094,16-05-2015,soda,5
4529,24-05-2015,tropical fruit,4
2745,29-04-2015,coffee,3
4352,28-11-2015,dog food,2
2783,31-03-2015,cream cheese ,1
3280,14-04-2015,tropical fruit,4
3473,7/4/2015,liquor (appetizer),2
3476,28-06-2015,white bread,5
2173,11/8/2015,long life bakery product,2
4170,11/5/2015,onions,1
1596,14-07-2015,beverages,2
1265,13-04-2015,yogurt,1
1259,20-09-2015,whole milk,2
4102,23-10-2015,grapes,2
3465,16-04-2015,white wine,4
3504,5/11/2015,other vegetables,4
3336,26-03-2015,tropical fruit,4
3001,14-11-2015,bottled water,4
4078,18-04-2015,shopping bags,3
3244,20-11-2015,newspapers,1
3544,10/3/2015,hard cheese,2
2760,14-04-2015,soda,5
4643,2/12/2015,UHT-milk,2
3601,20-12-2015,other vegetables,4
2275,2/8/2015,pet care,2
3082,10/4/2015,pip fruit,1
4273,22-01-2015,red/blush wine,5
1951,22-10-2015,rolls/buns,3
3589,31-01-2015,rolls/buns,3
2404,15-10-2015,whole milk,2
3619,7/4/2015,dessert,2
4733,9/3/2015,other vegetables,4
4868,2/5/2015,long life bakery product,2
3410,3/7/2015,coffee,3
4937,14-02-2015,bottled water,4
2979,9/8/2015,onions,1
2278,10/8/2015,coffee,3
4512,8/11/2015,newspapers,1
1940,18-11-2015,chocolate,5
1867,29-03-2015,fruit/vegetable juice,4
1888,21-05-2015,whipped/sour cream,4
2073,18-06-2015,domestic eggs,3
4023,21-01-2015,soda,5
4416,29-10-2015,white bread,5
4210,7/8/2015,other vegetables,4
1520,26-02-2015,yogurt,1
1890,20-04-2015,curd,2
3079,30-01-2015,chocolate,5
1772,2/11/2015,brown bread,4
1361,12/7/2015,salt,5
4073,13-02-2015,butter milk,5
2128,24-04-2015,frozen meals,1
1882,25-09-2015,chocolate,5
4895,1/6/2015,specialty bar,5
1431,5/3/2015,whole milk,2
2159,17-07-2015,white bread,5
2666,14-12-2015,fruit/vegetable juice,4
2986,19-05-2015,whole milk,2
3491,26-10-2015,female sanitary products,1
3844,14-08-2015,curd,2
4002,30-04-2015,white wine,4
3963,26-01-2015,meat spreads,2
2997,3/8/2015,soda,5
4122,5/6/2015,chocolate,5
4326,11/4/2015,yogurt,1
4331,10/9/2015,sugar,2
4199,29-12-2015,UHT-milk,2
1910,25-09-2015,margarine,3
2713,18-08-2015,rolls/buns,3
4535,5/12/2015,rolls/buns,3
1529,17-06-2015,soda,5
4361,18-02-2015,bottled water,4
1208,21-08-2015,frozen meals,1
1789,22-10-2015,yogurt,1
4592,7/8/2015,hamburger meat,2
2141,8/3/2015,whole milk,2
1425,24-09-2015,other vegetables,4
3264,13-01-2015,dessert,2
4575,10/12/2015,other vegetables,4
1042,22-05-2015,bottled water,4
4624,18-05-2015,whipped/sour cream,4
1692,8/5/2015,chicken,4
4861,28-03-2015,frozen vegetables,4
1409,28-07-2015,tropical fruit,4
4403,8/5/2015,yogurt,1
1000,25-11-2015,hygiene articles,1
2359,28-08-2015,margarine,3
1613,8/8/2015,cream cheese ,1
2632,17-08-2015,frozen meals,1
3974,19-06-2015,curd,2
1742,27-11-2015,root vegetables,5
3281,25-10-2015,root vegetables,5
2610,21-10-2015,pastry,2
3209,25-01-2015,newspapers,1
1032,13-07-2015,whipped/sour cream,4
2257,15-05-2015,yogurt,1
4500,8/6/2015,flour,2
2134,27-08-2015,whole milk,2
4542,18-01-2015,coffee,3
1921,23-02-2015,rolls/buns,3
3363,29-12-2015,margarine,3
3220,7/11/2015,rolls/buns,3
2547,6/4/2015,other vegetables,4
3675,3/8/2015,white wine,4
3410,30-08-2015,onions,1
3721,4/7/2015,soda,5
2204,27-09-2015,liquor (appetizer),2
2251,27-02-2015,packaged fruit/vegetables,1
4706,7/8/2015,whole milk,2
1762,21-01-2015,other vegetables,4
2996,8/1/2015,other vegetables,4
3727,19-05-2015,curd,2
4230,25-06-2015,white wine,4
2089,16-10-2015,curd,2
1452,21-05-2015,whole milk,2
4176,5/5/2015,flour,2
2484,12/8/2015,newspapers,1
3590,30-05-2015,salt,5
1015,22-03-2015,beef,3
4942,29-01-2015,bottled water,4
2038,17-05-2015,whole milk,2
4024,11/3/2015,grapes,2
4089,4/10/2015,rolls/buns,3
2287,23-09-2015,rolls/buns,3
1946,8/12/2015,candy,5
4899,13-03-2015,other vegetables,4
4656,1/11/2015,coffee,3
1340,18-11-2015,brown bread,4
3800,8/2/2015,root vegetables,5
4883,16-01-2015,frozen fish,2
4752,18-05-2015,pip fruit,1
4120,13-03-2015,rolls/buns,3
1776,20-03-2015,yogurt,1
4445,15-04-2015,flour,2
1515,6/11/2015,candy,5
4470,23-06-2015,other vegetables,4
2551,6/6/2015,rolls/buns,3
2062,3/9/2015,bottled beer,3
4407,19-02-2015,domestic eggs,3
1479,15-05-2015,shopping bags,3
1049,4/8/2015,candy,5
3062,22-03-2015,whole milk,2
3328,15-10-2015,soda,5
2269,20-09-2015,rolls/buns,3
2195,10/7/2015,canned fish,2
4757,12/1/2015,yogurt,1
4883,16-05-2015,shopping bags,3
1846,11/9/2015,root vegetables,5
4439,21-08-2015,rolls/buns,3
2102,25-01-2015,beef,3
3333,22-02-2015,rolls/buns,3
4486,6/11/2015,rolls/buns,3
3010,14-08-2015,root vegetables,5
1206,2/1/2015,cat food,4
2220,7/1/2015,pastry,2
1989,9/9/2015,mustard,1
3635,19-06-2015,newspapers,1
1275,11/4/2015,citrus fruit,4
3433,22-08-2015,whipped/sour cream,4
1426,8/7/2015,pip fruit,1
1110,9/9/2015,yogurt,1
4163,23-04-2015,liquor,4
4809,28-09-2015,pip fruit,1
3559,2/7/2015,shopping bags,3
3385,28-06-2015,other vegetables,4
4523,27-02-2015,zwieback,2
4335,5/1/2015,other vegetables,4
1900,8/1/2015,soda,5
1859,28-05-2015,meat,4
3139,17-02-2015,cat food,4
1614,3/2/2015,whole milk,2
4694,7/7/2015,misc. beverages,5
4257,18-08-2015,whole milk,2
1604,11/11/2015,fruit/vegetable juice,4
4857,28-07-2015,tropical fruit,4
2017,23-10-2015,UHT-milk,2
3239,27-11-2015,yogurt,1
4194,11/5/2015,chewing gum,3
1014,4/1/2015,cookware,1
3651,4/7/2015,yogurt,1
1591,20-03-2015,hard cheese,2
1572,14-07-2015,whipped/sour cream,4
2255,18-12-2015,cake bar,4
1793,22-10-2015,frozen meals,1
3256,30-07-2015,soda,5
3176,5/2/2015,red/blush wine,5
2790,11/10/2015,tropical fruit,4
3581,12/4/2015,rolls/buns,3
1190,27-10-2015,waffles,1
4960,15-08-2015,salty snack,1
1697,17-11-2015,soda,5
1208,16-12-2015,butter milk,5
1148,14-01-2015,yogurt,1
1763,27-12-2015,semi-finished bread,1
4526,21-08-2015,yogurt,1
4447,1/5/2015,butter,4
3521,17-07-2015,whole milk,2
2969,8/12/2015,waffles,1
2790,11/10/2015,other vegetables,4
4328,29-08-2015,yogurt,1
3484,22-09-2015,salty snack,1
2467,7/10/2015,yogurt,1
4722,16-12-2015,bottled water,4
1490,4/10/2015,detergent,2
4655,2/8/2015,rolls/buns,3
2842,29-07-2015,whole milk,2
1796,3/11/2015,yogurt,1
4426,18-05-2015,curd,2
2656,2/2/2015,cleaner,1
4440,11/4/2015,root vegetables,5
3682,6/8/2015,oil,3
